DEPTH,CMSE_lateral,Shmin_lateral
7709,24115.55664,2111.341553
7710,24187.43164,2108.787842
7711,24430.64453,2108.503662
7712,24914.69141,2109.129395
7713,25621.32422,2109.888184
7714,26179.91992,2109.593018
7715,26418.20898,2109.030029
7716,26478.14063,2108.828857
7717,26264.07227,2110.494141
7718,25793.07227,2115.381104
7719,25151.76367,2123.047607
7720,24671.19727,2128.785645
7721,24438.34375,2133.92627
7722,24367.07227,2136.568359
7723,24329.19141,2135.895996
7724,24314.37305,2132.94751
7725,24260.38867,2130.912354
7726,24196.0293,2129.336914
7727,24158.70313,2127.876953
7728,24114.65039,2127.26709
7729,24264.99023,2126.091553
7730,24348.04297,2124.900391
7731,24431.09375,2123.709229
7732,24629.82227,2120.564697
7733,24844.78906,2112.309814
7734,25056.16406,2106.245117
7735,25268.61914,2101.963867
7736,25411.30273,2099.978027
7737,25584.31055,2098.712891
7738,25878.77539,2098.01001
7739,26034,2097.253418
7740,26228.67578,2095.225586
7741,26382.75,2093.164063
7742,26405.0625,2091.46875
7743,26368.50391,2090.769775
7744,26178.56055,2091.96167
7745,26177.35547,2091.678467
7746,26144.55078,2091.793945
7747,26164.39453,2091.382324
7748,26180.61523,2090.103271
7749,26216.39453,2088.291504
7750,26255.82422,2086.456299
7751,26243.72852,2082.035645
7752,26251.95313,2080.777832
7753,26244.41016,2079.847168
7754,26306.01367,2078.17041
7755,26376.47266,2076.400391
7756,26731.40234,2074.537842
7757,26841.74609,2071.948975
7758,26952.26953,2069.105225
7759,27066.77734,2066.879395
7760,27172.78906,2064.810059
7761,27278.91797,2063.172852
7762,27166.07617,2064.991211
7763,27310.06836,2063.944336
7764,27402.18945,2062.72583
7765,27484.96484,2062.138428
7766,27529.94727,2061.722656
7767,27573.0332,2061.269775
7768,27543.55273,2061.336914
7769,27514.66797,2061.772949
7770,27473.15234,2062.04834
7771,27407.86523,2062.556152
7772,27370.81641,2062.836914
7773,27349.19141,2062.727539
7774,27340.70703,2062.494141
7775,27289.7832,2062.457275
7776,27272.09766,2061.98291
7777,27259.4375,2061.551025
7778,27285.33594,2060.80957
7779,27289.51367,2060.395508
7780,27296.80469,2060.124512
7781,27322.07227,2062.503906
7782,27347.75781,2064.514893
7783,27414.75391,2067.014404
7784,27443.80469,2069.859619
7785,27475.18359,2070.306641
7786,27258.26758,2070.253418
7787,27055.73633,2070.423584
7788,26806.29102,2070.850586
7789,26523.2832,2071.647217
7790,26418.16797,2072.26709
7791,26388.8418,2072.665283
7792,26359.51563,2073.063477
7793,26511.24609,2070.654541
7794,26631.10547,2068.566895
7795,26822.72266,2065.365234
7796,27046.125,2062.631348
7797,27097.03516,2062.164307
7798,27131.60352,2062.185059
7799,27181.63281,2061.655762
7800,27289.62695,2060.894775
7801,27354.01953,2060.340088
7802,27389.10156,2059.877441
7803,27433.41406,2058.992676
7804,27475.91797,2058.083984
7805,27516.51953,2057.364014
7806,27504.06055,2057.511963
7807,27522.87891,2057.842773
7808,27559.48828,2058.554932
7809,27605.92188,2059.657227
7810,27605.03516,2060.766846
7811,27584.42188,2060.539551
7812,27534.77734,2059.84082
7813,27455.98047,2059.54248
7814,27335.86328,2059.586914
7815,27209.15039,2059.904297
7816,27190.89258,2059.389893
7817,27225.58984,2058.574951
7818,27275.50391,2057.646484
7819,27347.58203,2056.3125
7820,27450.54492,2054.624023
7821,27593.79102,2053.631348
7822,27653.3125,2053.858398
7823,27660.58398,2053.622803
7824,27666.42188,2053.525391
7825,27672.25977,2053.427734
7826,27678.09766,2053.330322
7827,27683.9375,2053.232666
7828,27689.77539,2053.135254
7829,27695.61328,2053.037598
7830,27701.45117,2052.940186
7831,27757.54688,2052.048584
7832,27770.22461,2051.398926
7833,27717.54102,2051.16626
7834,27717.22461,2050.559814
7835,27755.04102,2049.457275
7836,27796.75977,2048.23584
7837,27811.93164,2046.825195
7838,27874.93164,2045.610229
7839,27975.7793,2044.303589
7840,28032.63672,2043.561157
7841,28101.06836,2042.903564
7842,28187.99805,2042.293579
7843,28244.91016,2041.11438
7844,28292.20313,2040.874878
7845,28322.69531,2041.072388
7846,28339.89258,2041.065674
7847,28342.09961,2041.276245
